BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt
–,–,–,–,–,–,1,15,37,506,1.823,3.465,7.466,9.468,22.719,29.538,29.559
–,–,–,–,–,–,–,–,–,1,19,62,125,201,298,490,889
–,–,–,–,–,–,–,–,–,–,–,–,5,11,13,13,13
–,–,–,–,–,–,–,5,7,15,31,66,86,96,109,128,144
–,–,–,–,–,–,–,–,–,–,7,12,14,15,18,21,21
–,–,–,–,–,–,–,–,6,51,96,134,143,148,149,152,154
–,–,–,–,–,–,–,–,1,1,1,62,153,257,473,688,967
–,–,–,–,–,–,–,–,4,5,5,24,37,63,74,82,97
–,–,–,–,–,–,–,–,–,2,8,21,31,44,72,85,151
–,–,–,–,–,–,–,–,2,24,67,268,393,472,627,1.010,1.830
–,–,–,–,–,–,–,–,10,16,30,55,69,173,305,463,498
–,1,4,7,7,9,19,62,304,1.384,4.757,13.904,23.702,33.909,45.778,59.365,67.996
–,–,–,–,–,–,–,1,24,196,539,1.406,2709,3.621,5.142,7.285,10.495
–,–,–,–,–,–,–,–,4,16,119,320,669,1.035,1.369,1.649,1.766
–,–,–,–,–,–,–,–,–,–,–,–,15,15,15,17,18
–,–,–,–,–,–,–,2,15,32,93,145,156,163,175,181,187
–,–,–,–,–,–,5,7,53,164,717,1.890,4.219,7.497,13.842,22.088,33.460
–,–,–,–,–,–,–,–,–,1,5,6,9,11,11,11,11
–,–,–,–,–,–,–,–,–,2,4,5,9,9,13,14,16
–,–,–,–,–,–,–,–,43,137,786,1.801,3.234,4.273,5.538,7.090,8.282
–,–,–,–,–,–,–,1,8,18,56,104,134,206,228,370,713
–,–,–,–,–,–,–,6,71,318,635,1.746,6.848,14.420,25.331,42.534,65.015
–,–,–,–,–,–,–,–,–,–,–,–,1,1,1,1,1
–,–,–,–,–,–,–,–,3,21,64,452,897,1.213,1.371,1.808,2.198
–,–,–,–,–,–,–,1,3,3,5,6,6,6,6,6,6
–,–,–,–,–,–,–,–,–,–,2,9,12,14,15,15,15
–,–,–,–,–,–,–,2,2,4,6,29,33,37,38,38,39
–,–,–,–,–,–,–,–,–,1,3,23,50,64,74,76,77
–,–,–,–,–,–,–,–,1,2,8,10,10,10,10,10,10
–,–,–,–,–,–,–,–,2,9,74,103,112,114,115,116,116
