KrS,Landkreis/Kreis,UZ,BL,Kreissitz,Einw.,Fl.in km²,Bev.D.Ew./km²,Karte
09574,Nürnberger Land,"LAU, ESB, HEB, N, PEG",BY,Lauf an der Pegnitz,170.792,"799,57",214,
09780,Oberallgäu,OA,BY,Sonthofen,156.008,1528,102,
05374,Oberbergischer Kreis,GM,NW,Gummersbach,272.057,"918,84",296,
12065,Oberhavel,OHV,BB,Oranienburg,212.914,"1.808,18",118,
12066,Oberspreewald-Lausitz,"OSL, CA, SFB",BB,Senftenberg,109.371,"1.223,08",89,
06437,Odenwaldkreis,ERB,HE,Erbach,96.703,"623,98",155,
12067,Oder-Spree,"LOS, BSK, EH, FW",BB,Beeskow,178.803,"2.256,78",79,
06438,Offenbach,OF,HE,Dietzenbach,355.813,"356,3",999,
03458,Oldenburg,OL,NI,Wildeshausen,130.890,"1.063,16",123,
05966,Olpe,OE,NW,Olpe,133.955,"712,14",188,
08317,Ortenaukreis,"OG, BH, KEL, LR, WOL",BW,Offenburg,430.953,"1.860,81",232,
03459,Osnabrück,"OS, BSB, MEL, WTL",NI,Osnabrück[FN 2],358.080,"2.121,63",169,
08136,Ostalbkreis,"AA, GD",BW,Aalen,314.025,"1.511,54",208,
09777,Ostallgäu,"OAL, FÜS, MOD",BY,Marktoberdorf,141.182,"1.394,91",101,
03356,Osterholz,OHZ,NI,Osterholz-Scharmbeck,113.928,"650,81",175,
01055,Ostholstein,OH,SH,Eutin,200.539,"1.392,55",144,
12068,Ostprignitz-Ruppin,"OPR, KY, NP, WK",BB,Neuruppin,98.861,"2.526,55",39,
05774,Paderborn,"PB, BÜR",NW,Paderborn,307.839,"1.246,8",247,
09275,Passau,PA,BY,Passau[FN 2],192.656,"1.530,29",126,
03157,Peine,PE,NI,Peine,134.801,"534,97",252,
09186,Pfaffenhofen an der Ilm,PAF,BY,Pfaffenhofen an der Ilm,128.227,"761,14",168,
01056,Pinneberg,PI,SH,Pinneberg[FN 3],316.103,"664,28",476,
01057,Plön,PLÖ,SH,Plön,128.686,"1.083,17",119,
12069,Potsdam-Mittelmark,PM,BB,Bad Belzig,216.566,"2.591,61",84,
12070,Prignitz,PR,BB,Perleberg,76.158,"2.138,61",36,
08216,Rastatt,"RA, BH",BW,Rastatt,231.420,"738,75",313,
08436,Ravensburg,"RV, SLG, ÜB, WG",BW,Ravensburg,285.424,"1.632,08",175,
05562,Recklinghausen,"RE, CAS, GLA",NW,Recklinghausen,614.137,"761,31",807,
09276,Regen,"REG, VIT",BY,Regen,77.410,"974,92",79,
09375,Regensburg,R,BY,Regensburg[FN 2],194.070,"1.391,9",139,
08119,Rems-Murr-Kreis,"WN, BK",BW,Waiblingen,427.248,"858,13",498,
01058,Rendsburg-Eckernförde,"RD, ECK",SH,Rendsburg,274.098,"2.189,17",125,
08415,Reutlingen,RT,BW,Reutlingen,287.034,"1.092,74",263,
05362,Rhein-Erft-Kreis,BM,NW,Bergheim,470.615,"704,71",668,
06439,Rheingau-Taunus-Kreis,"RÜD, SWA",HE,Bad Schwalbach,187.160,"811,48",231,
07140,Rhein-Hunsrück-Kreis,"SIM, GOA",RP,Simmern/Hunsrück,103.163,"991,12",104,
05378,Rheinisch-Bergischer Kreis,GL,NW,Bergisch Gladbach,283.271,"437,32",648,
05162,Rhein-Kreis Neuss,"NE, GV",NW,Neuss,451.730,"576,52",784,
07141,Rhein-Lahn-Kreis,"EMS, DIZ, GOH",RP,Bad Ems,122.297,"782,29",156,
08226,Rhein-Neckar-Kreis,HD,BW,Heidelberg[FN 2],548.355,"1.061,7",516,
07338,Rhein-Pfalz-Kreis,RP,RP,Ludwigshafen am Rhein[FN 2],154.609,"304,92",507,
05382,Rhein-Sieg-Kreis,SU,NW,Siegburg,600.764,"1.153,21",521,
09673,Rhön-Grabfeld,"NES, KÖN, MET",BY,Bad Neustadt an der Saale,79.635,"1.021,77",78,
09187,Rosenheim,"RO, AIB, WS",BY,Rosenheim[FN 2],261.330,"1.439,54",182,
13072,Rostock,"LRO, BÜZ, DBR, GÜ, ROS, TET",MV,Güstrow,215.794,"3.422,51",63,
03357,Rotenburg (Wümme),"ROW, BRV",NI,Rotenburg (Wümme),163.782,"2.070,45",79,
09576,Roth,"RH, HIP",BY,Roth,126.749,"895,39",142,
09277,Rottal-Inn,"PAN, EG, GRI, VIB",BY,Pfarrkirchen,121.502,"1.281,42",95,
08325,Rottweil,RW,BW,Rottweil,139.878,"769,4",182,
16074,Saale-Holzland-Kreis,"SHK, EIS, SRO",TH,Eisenberg,82.950,"815,24",102,
15088,Saalekreis,"SK, MER, MQ, QFT",ST,Merseburg,183.815,"1.433,67",128,
16075,Saale-Orla-Kreis,"SOK, LBS, PN, SCZ",TH,Schleiz,80.312,"1.151,3",70,
16073,Saalfeld-Rudolstadt,"SLF, RU",TH,Saalfeld/Saale,103.199,"1.008,79",102,
10041,"Saarbrücken, Regionalverband[FN 1]","SB, (VK)",SL,Saarbrücken,328.714,"410,64",800,
10044,Saarlouis,SLS,SL,Saarlouis,194.319,"459,05",423,
10045,Saarpfalz-Kreis,"HOM, (IGB)",SL,Homburg,142.196,"418,4",340,
14628,Sächsische Schweiz-Osterzgebirge,"PIR, DW, FTL, SEB",SN,Pirna,245.586,"1.654,19",148,
15089,Salzlandkreis,"SLK, ASL, BBG, SBK, SFT",ST,Bernburg (Saale),189.125,"1.426,76",133,
03257,Schaumburg,"SHG, RI",NI,Stadthagen,157.820,"675,57",234,
01059,Schleswig-Flensburg,SL,SH,Schleswig,201.156,"2.071,14",97,
16066,Schmalkalden-Meiningen,"SM, MGN",TH,Meiningen,124.916,"1.251,21",100,
06634,Schwalm-Eder-Kreis,"HR, FZ, MEG, ZIG",HE,Homberg (Efze),179.673,"1.538,51",117,
09376,Schwandorf,"SAD, BUL, NAB, NEN, OVI, ROD",BY,Schwandorf,147.872,"1.464,97",101,
08326,Schwarzwald-Baar-Kreis,VS,BW,Villingen-Schwenningen,212.506,"1.025,27",207,
08127,Schwäbisch Hall,"SHA, BK, CR",BW,Schwäbisch Hall,196.761,"1.483,97",133,
09678,Schweinfurt,"SW, GEO",BY,Schweinfurt[FN 2],115.445,"841,46",137,
01060,Segeberg,SE,SH,Bad Segeberg,277.175,"1.344,39",206,
05970,Siegen-Wittgenstein,"SI, BLB",NW,Siegen,276.944,"1.132,89",244,
08437,Sigmaringen,SIG,BW,Sigmaringen,130.849,1204,109,
05974,Soest,"SO, LP",NW,Soest,301.785,"1.328,63",227,
16068,Sömmerda,SÖM,TH,Sömmerda,69.427,"806,85",86,
16072,Sonneberg,"SON, NH",TH,Sonneberg,57.717,"460,85",125,
12071,Spree-Neiße,"SPN, FOR, GUB, SPB",BB,Forst (Lausitz),113.720,"1.657,45",69,
10046,St. Wendel,WND,SL,St. Wendel,87.007,"476,22",183,
03359,Stade,STD,NI,Stade,204.512,"1.266,02",162,
09188,Starnberg,"STA, WOR",BY,Starnberg,136.667,"487,71",280,
01061,Steinburg,IZ,SH,Itzehoe,131.013,"1.056,13",124,
05566,Steinfurt,"ST, BF, TE",NW,Steinfurt,448.220,"1.795,76",250,
15090,Stendal,"SDL, HV, OBG",ST,Stendal,111.190,"2.423,16",46,
01062,Stormarn,OD,SH,Bad Oldesloe,244.156,"766,33",319,
09278,Straubing-Bogen,"SR, BOG, MAL",BY,Straubing[FN 2],101.120,"1.201,94",84,
07337,Südliche Weinstraße,SÜW,RP,Landau in der Pfalz[FN 2],110.521,"639,83",173,
07340,Südwestpfalz,"PS, ZW",RP,Pirmasens[FN 2],94.831,"953,65",99,
12072,Teltow-Fläming,TF,BB,Luckenwalde,169.997,"2.104,19",81,
09377,Tirschenreuth,"TIR, KEM",BY,Tirschenreuth,72.046,"1.084,23",66,
09189,Traunstein,"TS, LF",BY,Traunstein,177.319,1534,116,
07235,Trier-Saarburg,"TR, SAB",RP,Trier[FN 2],149.398,"1.101,49",136,
08416,Tübingen,TÜ,BW,Tübingen,228.678,"519,2",440,
08327,Tuttlingen,TUT,BW,Tuttlingen,140.766,"734,35",192,
12073,Uckermark,"UM, ANG, PZ, SDT, TP",BB,Prenzlau,118.947,"3.076,93",39,
03360,Uelzen,UE,NI,Uelzen,92.389,"1.454,22",64,
05978,Unna,"UN, LH, LÜN",NW,Unna,394.891,"543,21",727,
16064,Unstrut-Hainich-Kreis,"UH, LSZ, MHL",TH,Mühlhausen/Thüringen,102.232,"979,68",104,
09778,Unterallgäu,MN,BY,Mindelheim,145.341,"1.230,06",118,
03460,Vechta,VEC,NI,Vechta,142.814,"812,63",176,
03361,Verden,VER,NI,Verden (Aller),137.133,"787,97",174,
05166,Viersen,"VIE, KK",NW,Viersen,298.863,"563,28",531,
06535,Vogelsbergkreis,VB,HE,Lauterbach (Hessen),105.643,"1.458,99",72,
14523,Vogtlandkreis,"V, AE, OVL, PL, RC",SN,Plauen,225.997,"1.412,42",160,
13075,Vorpommern-Greifswald,"VG, ANK, GW, PW, SBG, UEM, WLG, (HGW)",MV,Greifswald,235.623,"3.929,73",60,
13073,Vorpommern-Rügen,"VR, GMN, NVP, RDG, RÜG, (HST)",MV,Stralsund,224.702,"3.207,37",70,
07233,Vulkaneifel,DAU,RP,Daun,60.646,"911,02",67,
06635,Waldeck-Frankenberg,"KB, FKB, WA",HE,Korbach,156.406,"1.848,44",85,
08337,Waldshut,WT,BW,Waldshut-Tiengen,171.003,"1.131,15",151,
05570,Warendorf,"WAF, BE",NW,Warendorf,277.840,"1.319,41",211,
16063,Wartburgkreis,"WAK, SLZ",TH,Bad Salzungen,118.974,"1.266,96",94,
09190,Weilheim-Schongau,"WM, SOG",BY,Weilheim in Oberbayern,135.478,"966,37",140,
16071,Weimarer Land,"AP, APD",TH,Apolda,82.156,"804,48",102,
09577,Weißenburg-Gunzenhausen,"WUG, GUN",BY,Weißenburg in Bayern,94.734,"970,91",98,
06636,Werra-Meißner-Kreis,"ESW, WIZ",HE,Eschwege,100.629,"1.024,7",98,
05170,Wesel,"WES, DIN, MO",NW,Wesel,459.976,"1.042,8",441,
03461,Wesermarsch,BRA,NI,Brake (Unterweser),88.583,"822,01",108,
07143,Westerwaldkreis,WW,RP,Montabaur,201.904,"988,95",204,
06440,Wetteraukreis,"FB, BÜD",HE,Friedberg (Hessen),308.339,"1.100,69",280,
15091,Wittenberg,"WB, GHC, JE",ST,Lutherstadt Wittenberg,124.953,"1.930,31",65,
03462,Wittmund,WTM,NI,Wittmund,56.926,"656,64",87,
03158,Wolfenbüttel,WF,NI,Wolfenbüttel,119.622,"722,56",166,
09479,Wunsiedel im Fichtelgebirge,"WUN, MAK, REH, SEL",BY,Wunsiedel,72.655,"606,43",120,
09679,Würzburg,"WÜ, OCH",BY,Würzburg[FN 2],162.302,"968,4",168,
08417,Zollernalbkreis,"BL, HCH",BW,Balingen,189.363,"917,72",206,
14524,Zwickau,"Z, GC, HOT, WDA",SN,Zwickau,315.002,"949,78",332,
