KW,Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt,Differenz zum Vortag,Bem.
9,24. Feb. 2020,—,14,—,—,—,—,2,—,—,—,—,—,—,—,—,—,16,.0—,
9,25. Feb. 2020,1,14,—,—,—,—,2,—,—,1,—,—,—,—,—,—,18,.0002,
9,26. Feb. 2020,3,14,—,—,—,—,2,—,—,2,—,—,—,—,—,—,21,.0003,
9,27. Feb. 2020,6,14,—,—,—,—,2,—,—,4,—,—,—,—,—,—,26,.0005,
9,28. Feb. 2020,10,15,—,—,—,—,2,—,—,25,—,—,—,—,1,—,53,.0027,
9,29. Feb. 2020,14,15,—,—,—,—,5,—,—,30,1,—,—,—,1,—,66,.0013,
9,1. März 2020,15,19,—,—,1,1,10,—,1,66,2,—,—,—,2,—,117,.0051,
19,7. Mai 2020,32.762,43.658,6.149,2.999,963,4.704,8.736,715,10.564,34.249,6.213,2.655,4.836,1.602,2.834,2.452,166.091,1.284,[66]
19,8. Mai 2020,32.898,43.905,6.209,3.037,997,4.753,8.850,718,10.686,34.522,6.241,2.658,4.839,1.615,2.860,2.512,167.300,1.209,[67]
19,9. Mai 2020,33.105,44.169,6.242,3.098,1.024,4.772,8.916,722,10.803,34.817,6.282,2.660,4.873,1.637,2.898,2.533,168.551,1.251,[68]
19,10. Mai 2020,33.287,44.265,6.261,3.101,1.043,4.772,8.998,726,10.827,34.964,6.291,2.663,4.886,1.640,2.938,2.556,169.218,.0667,[69]
20,11. Mai 2020,33.190(k),44.368,6.272,3.106,1.055,4.780,9.012,728,10.854,35.132,6.313,2.665,4.915,1.643,2.957,2.585,169.575,.0357,[70]
20,12. Mai 2020,33.359(l),44.593,6.274,3.111,1.058,4.960(l),9.031,729,10.895,35.333,6.355,2.665,4.947,1.648,2.956(l),2.594,170.508,.0933,[71]
20,13. Mai 2020,33.518,44.802,6.298,3.125,1.077,4.972,9.087,736,10.903,35.555,6.360,2.667,4.962,1.650,2.972,2.622,171.306,.0798,[72]
20,14. Mai 2020,33.670,44.980,6.342,3.135,1.104,4.976,9.169,739,11.003,35.741,6.382,2.677,5.031,1.656,2.982,2.652,172.239,.0933,[73]
20,15. Mai 2020,33.851,45.143,6.397,3.158,1.129,4.981,9.204,740,11.087,35.967,6.413,2.684,5.061,1.668,2.988,2.681,173.152,.0913,[74]
20,16. Mai 2020,33.893,45.340,6.428,3.169,1.150,5.017,9.261,746,11.092,36.065,6.449,2.688,5.089,1.676,2.998,2.711,173.772,.0620,[75]
20,17. Mai 2020,33.950,45.427,6.447,3.171,1.164,5.029,9.317,748,11.155,36.286,6.449(m),2.696,5.115,1.676,3.000,2.725,174.355,.0583,[76]
21,18. Mai 2020,34.000,45.507,6.458,3.172,1.171,5.037,9.337,752,11.167,36.365,6.490,2.696,5.125,1.678,3.002,2.740,174.697,.0342,[77]
21,19. Mai 2020,34.034,45.639,6.478,3.185,1.237,5.042,9.368,752,11.207,36.485,6.520,2.699,5.133,1.679,3.002,2.750,175.210,.0513,[78]
21,20. Mai 2020,34.115,45.766,6.507,3.193,1.256,5.042,9.483,755,11.288,36.766,6.529,2.703,5.150,1.680,3.014,2.760,176.007,.0797,[79]
21,21. Mai 2020,34.175,45.929,6.555,3.205,1.273,5.053,9.574,762,11.362,36.912,6.555,2.706,5.185,1.689,3.021,2.796,176.752,.0745,[80]
21,22. Mai 2020,34.174(n),46.024,6.585,3.211,1.291,5.059,9.656,763,11.420,37.010,6.566,2.707,5.197,1.692,3.039,2.818,177.212,.0460,[81]
21,23. Mai 2020,34.345,46.132,6.614,3.213,1.296,5.063,9.670,763,11.521,37.139,6.582,2.709,5.219,1.692,3.062,2.830,177.850,.0638,[82]
21,24. Mai 2020,34.399,46.206,6.637,3.214,1.299,5.066,9.762,760,11.578,37.223,6.590,2.713,5.221,1.694,3.062,2.857,178.281,.0431,[83]
22,25. Mai 2020,34.431,46.326,6.642,3.214,1.312,5.069,9.770,760,11.578(o),37.298,6.596,2.716,5.231,1.694,3.062,2.871,178.570,.0289,[84]
22,26. Mai 2020,34.466,46.456,6.652,3.236,1.313,5.069,9.804,760,11.646,37.395,6.600,2.727,5.236,1.698,3.067,2.877,179.002,.0432,[85]
22,27. Mai 2020,34.500,46.458,6.673,3.246,1.322,5.072,9.860,760,11.678,37.541,6.611,2.730,5.247,1.698,3.070,2.898,179.364,.0362,[86]
22,28. Mai 2020,34.129(p),46.729,6.703,3.261,1.348,5.076,9.915,760,11.750,37.698,6.652,2.731,5.260,1.701,3.072,2.932,179.717,.0353,[87]
22,29. Mai 2020,34.479(q),46.809,6.738,3.271,1.372,5.078,9.962,759,11.832,37.803,6.673,2.716(q),5.230(q),1.700,3.078,2.958,180.458,.0741,[88]
22,30. Mai 2020,34.718,46.854,6.767,3.266,1.398,5.082,10.003,760,11.958,37.910,6.695,2.723,5.297,1.701,3.090,2.974,181.196,.0738,[89]
22,31. Mai 2020,34.718(r),46.917,6.800,3.271,1.398(s),5.087,10.033,761,11.992,38.000,6.694,2.724,5.304,1.705,3.094,2.984,181.482,.0286,[90]
23,01. Juni 2020,34.784,47.004,6.816,3.273,1.398(s),5.089,10.047,761,12.043,38.046,6.703,2.724,5.309,1.706,3.097,3.015,181.815,.0333,[91]
23,2. Juni 2020,34.796,47.029,6.839,3.274,1.436,5.098,10.060,761,12.065,38.100,6.704,2.730,5.309,1.707,3.103,3.017,182.028,.0213,[92]
23,3. Juni 2020,34.813,47.138,6.874,3.273,1.447,5.098,10.080,761,12.114,38.185,6.712,2.735,5.305,1.707,3.106,3.022,182.370,.0342,[93]
23,4. Juni 2020,34.830,47.209,6.901,3.280,1.462,5.096(v),10.129,763,12.182,38.297,6.719,2.737,5.312,1.711,3.103(v),3.033,182.764,.0394,[94]
23,5. Juni 2020,34.870,47.268,6.946,3.288,1.498,5.107,10.163,764,12.277,38.439,6.732,2.738,5.315,1.712,3.103,3.051,183.271,.0507,[95]
23,6. Juni 2020,34.898,47.326,6.964,3.294,1.513,5.111,10.171,766,12.399,38.524,6.761,2.740,5.321,1.717,3.107,3.066,183.678,.0407,[96]
23,7. Juni 2020,34.912,47.334,6.997,3.297,1.517,5.113,10.203,773,12.466,38.616,6.775,2.747,5.323,1.720,3.109,3.077,183.979,.0301,[97]
24,8. Juni 2020,34.937,47.371,7.016,3.304,1.531,5.115,10.207,774,12.509,38.660,6.781,2.747,5.330,1.720,3.110,3.110,184.193,.0214,[98]
24,9. Juni 2020,34.958,47.423,7.042,3.302,1.532,5.117,10.237,780,12.601,38.743,6.787,2.754,5.333,1.720,3.114,3.100,184.543,.0350,[99]
24,10. Juni 2020,34.965,47.479,7.082,3.309,1.547,5.121,10.256,777(w),12.626,38.845,6.810,2.763,5.337,1.721,3.115,3.108,184.861,.0318,[100]
24,11. Juni 2020,35.002,47.536,7.138,3.352,1.565,5.125,10.296,778,12.727,38.983,6.827,2.766,5.346,1.728,3.117,3.130,185.416,.0555,[101]
24,12. Juni 2020,35.057,47.574,7.165,3.306(x),1.573,5.134,10.313,780,12.777,39.060,6.827(y),2.769,5.344,1.732,3.120,3.143,185.674,.0258,[102]
24,13. Juni 2020,35.090,47.612,7.252,3.326,1.581,5.139,10.321,781,12.822,39.137,6.838,2.770,5.345,1.734,3.120,3.154,186.022,.0348,[103]
24,14. Juni 2020,35.090,47.626,7.282,3.326,1.589,5.139,10.324,782,12.874,39.233,6.840,2.772,5.346,1.756,3.121,3.169,186.269,.0247,[104]
25,15. Juni 2020,35.090,47.642,7.322,3.329,1.592,5.144,10.324,782,12.909,39.307,6.841,2.772,5.347,1.768,3.121,3.171,186.461,.0192,[105]
25,16. Juni 2020,35.150,47.690,7.369,3.334,1.593,5.147,10.371,784,12.950,39.415,6.846,2.773,5.349,1.771,3.122,3.175,186.839,.0378,[106]
25,17. Juni 2020,35.177,47.710,7.402,3.362,1.607,5.149,10.386,786,12.968,39.573,6.856,2.773,5.350,1.775,3.122,3.188,187.184,.0345,[107]
25,18. Juni 2020,35.218,47.747,7.475,3.365,1.619,5.154,10.440,787,13.063,39.777(z),6.874,2.773,5.359,1.802,3.122,3.189,187.764,.0580,[108]
25,19. Juni 2020,35.236,47.799,7.603,3.374,1.626,5.156,10.503,791,13.097,40.156,6.883,2.774,5.382,1.818,3.131,3.205,188.534,.0770(aa),[109]
25,20. Juni 2020,35.272,47.827,7.733,3.383,1.636,5.160,10.556,791,13.136,40.372,6.903,2.776,5.408,1.839,3.133,3.210,189.135,.0601,[110]
25,21. Juni 2020,35.272(ac),47.843,7.804,3.388,1.645,5.163,10.575,792,13.136(ac),40.921,6.907,2.778,5.408(ac),1.842,3.134,3.214,189.822,.0687(ab),[111]
26,22. Juni 2020,35.272(ad),47.867,7.804,3.394,1.648,5.170,10.578,792,13.283,41.218,6.917,2.778(ad),5.408(ad),1.844,3.136,3.221,190.359,.0537,[112]
26,23. Juni 2020,35.365,47.894,7.916(ae),3.407,1.654,5.170(ah),10.613,792(ag),13.312,41.418(ae),6.919,2.778(ag),5.408(af),1.851,3.136(ag),3.229,190.862,.0503,[113]
26,24. Juni 2020,35.409,47.995,7.975(ai),3.413,1.653,5.175,10.645,794,13.327,41.678(ai),6.924,2.801,5.436,1.856,3.137,3.231,191.449,.0587,[114]
26,25. Juni 2020,35.446,48.122,8.021,3.428,1.653(aj),5.175(aj),10.666,796,13.378,41.992,6.940,2.801,5.438,1.856,3.140,3.225,192.079,.0630,[115]
26,26. Juni 2020,35.476,48.202,8.096,3.437,1.658,5.173,10.707,797,13.422,42.150,6.951,2.802,5.439,1.862,3.144,3.240,192.556,.0477,[116]
26,27. Juni 2020,35.530,48.262,8.145,3.437,1.659,5.178,10.731,798,13.456,42.571,6.971,2.802,5.444,1.865,3.146,3.248,193.243,.0687,[117]
26,28. Juni 2020,35.530(ak),48.294,8.168,3.417,1.661,5.178(ak),10.761,801,13.478,42.723,6.974,2.805,5.444,1.868,3.147,3.250,193.499,.0256,[118]
27,29. Juni 2020,35.530(al),48.344,8.176,3.419,1.661(al),5.194,10.762,801,13.502,42.869,6.987,2.806,5.444(al),1.869,3.147,3.250(al),193.761,.0262,[119]
27,30. Juni 2020,35.620,48.400,8.220,3.429,1.662,5.201,10.795,802,13.535,43.066,6.996,2.806,5.448,1.871,3.154,3.254,194.259,.0498,[120]
27,1. Juli 2020,35.694,48.480,8.243,3.440,1.667,5.204,10.811,803,13.577,43.242,7.022,2.806,5.451,1.873,3.159,3.253,194.725,.0466,[121]
27,2. Juli 2020,35.744,48.547,8.302,3.443,1.670,5.211,10.869,803,13.605,43.436,7.036,2.807,5.457,1.876,3.163,3.259,195.228,.0503,[122]
27,3. Juli 2020,35.771,48.587,8.345,3.450,1.675,5.212,10.894,803,13.632,43.660,7.068,2.805,5.453,1.878,3.176,3.265,195.674,.0446,[123]
27,4. Juli 2020,35.807,48.655,8.393,3.459,1.675,5.217,10.918,804,13.647,43.853,7.080,2.805,5.458,1.880,3.178,3.267,196.096,.0422,[124]
27,5. Juli 2020,35.807(am),48.665,8.434,3.460,1.678,5.220,10.939,804,13.664,43.990,7.080,2.805(am),5.458(am),1.880,3.181,3.270,196.335,.0239,[125]
28,6. Juli 2020,35.807(an),48.744,8.451,3.464,1.679,5.220,10.955,804,13.672,44.064,7.082,2.806,5.458(an),1.889,3.187,3.272,196.554,.0219,[126]
28,7. Juli 2020,35.862,48.852,8.462,3.468,1.679,5.223,10.985,805,13.731,44.158,7.094,2.806,5.459,1.894,3.189,3.277,196.944,.0390,[127]
28,8. Juli 2020,35.890,48.953,8.502,3.476,1.679,5.224,11.012,805,13.748,44.306,7.100,2.808,5.465,1.896,3.194,3.283,197.341,.0397,[128]
28,9. Juli 2020,35.942,49.023,8.537,3.483,1.684,5.230,11.062,805,13.754,44.492,7.112,2.809,5.466,1.898,3.200,3.286,197.783,.0442,[129]
28,10. Juli 2020,35.990,49.086,8.586,3.452(ao),1.688,5.231,11.104,803(ao),13.791,44.645,7.126,2.812,5.469,1.905,3.202,3.288,198.178,.0395,[130]
28,11. Juli 2020,36.041,49.184,8.617,3.459,1.689,5.230,11.122,804,13.799,44.788,7.136,2.812,5.473,1.907,3.206,3.289,198.556,.0378,[131]
28,12. Juli 2020,36.041(ap),49.204,8.637,3.462,1.689,5.230(ap),11.162,804,13.804,44.915,7.157,2.812(ap),5.473(ap),1.917,3.206,3.291,198.804,.0248,[132]
29,13. Juli 2020,36.041,49.273,8.638,3.462,1.690,5.231,11.169,804,13.806,44.974,7.174,2.812,5.473,1.917,3.207,3.292,198.963,.0159,[133]
29,14. Juli 2020,36.111,49.350,8.656,3.462,1.691,5.231,11.206,804,13.823,45.115,7.196,2.819,5.476,1.919,3.221,3.295,199.375,.0412,[134]
29,15. Juli 2020,36.162,49.427,8.674,3.465,1.691,5.231,11.217,804,13.848,45.233,7.222,2.823,5.478,1.921,3.229,3.301,199.726,.0351,[135]
29,16. Juli 2020,36.227,49.538,8.699,3.466,1.697,5.233,11.283,805,13.887,45.388,7.258,2.824,5.484,1.926,3.235,3.310,200.260,.0534,[136]
29,17. Juli 2020,36.264,49.631,8.725,3.470,1.701,5.232,11.324,805,13.905,45.710,7.275,2.827,5.485,1.936,3.238,3.315,200.843,.0583,[137]
29,18. Juli 2020,36.342,49.702,8.748,3.476,1.709,5.237,11.371,806,13.952,45.910,7.293,2.828,5.488,1.939,3.251,3.320,201.372,.0529,[138]
29,19. Juli 2020,36.342,49.710,8.774,3.476,1.718,5.240,11.386,806,13.963,46.024,7.299,2.828,5.488,1.946,3.253,3.321,201.574,.0202,[139]
30,20. Juli 2020,36.342,49.775,8.779,3.483,1.720,5.240,11.409,806,14.030,46.075,7.314,2.830,5.488,1.950,3.261,3.321,201.823,.0249,[140]
30,21. Juli 2020,36.492,49.872,8.802,3.485,1.721,5.241,11.430,809,14.059,46.213,7.338,2.832,5.501,1.956,3.271,3.323,202.345,.0522,[141]
30,22. Juli 2020,36.556,49.954,8.837,3.497,1.725,5.244,11.458,811,14.101,46.367,7.346,2.835,5.503,1.961,3.278,3.326,202.799,.0454,[142]
30,23. Juli 2020,36.565,50.049,8.860,3.510,1.727,5.251,11.534,815,14.133,46.615,7.374,2.840,5.503,1.973,3.292,3.327,203.368,.0569,[143]
30,24. Juli 2020,36.731,50.112,8.894,3.523,1.733,5.275,11.591,826,14.185,46.956,7.397,2.841,5.506,1.975,3.299,3.339,204.183,.0815,[144]
