KW,Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt,Differenz zum Vortag,Bem.
9,24. Feb. 2020,—,14,—,—,—,—,2,—,—,—,—,—,—,—,—,—,16,.0—,
9,25. Feb. 2020,1,14,—,—,—,—,2,—,—,1,—,—,—,—,—,—,18,.0002,
9,26. Feb. 2020,3,14,—,—,—,—,2,—,—,2,—,—,—,—,—,—,21,.0003,
9,27. Feb. 2020,6,14,—,—,—,—,2,—,—,4,—,—,—,—,—,—,26,.0005,
9,28. Feb. 2020,10,15,—,—,—,—,2,—,—,25,—,—,—,—,1,—,53,.0027,
9,29. Feb. 2020,14,15,—,—,—,—,5,—,—,30,1,—,—,—,1,—,66,.0013,
9,1. März 2020,15,19,—,—,1,1,10,—,1,66,2,—,—,—,2,—,117,.0051,
35,30. Aug. 2020,41.773,57.059,11.183,3.869,1.992,6.227,15.399,1.007,16.690,58.584,9.008,3.153,5.949,2.232,4.022,3.624,241.771,.0785,[181]
36,31. Aug. 2020,41.942,57.219,11.189,3.870,1.993,6.250,15.431,1.008,16.741,58.687,9.053,3.154,5.953,2.234,4.029,3.628,242.381,.0610,[182]
36,1. Sep. 2020,42.119,57.485,11.266,3.871,2.002,6.262,15.596,1.008,16.795,59.023,9.105,3.151,5.990,2.244,4.045,3.637,243.599,1.218,[183]
36,2. Sep. 2020,42.367,57.781,11.347,3.875,2.015,6.313,15.692,1.009,16.888,59.263,9.168,3.157,6.022,2.250,4.064,3.644,244.855,1.256,[184]
36,3. Sep. 2020,42.614,58.077,11.431,3.898,2.037,6.351,15.776,1.015,16.992,59.527,9.212,3.168,6.065,2.260,4.091,3.652,246.166,1.311,[185]
36,4. Sep. 2020,42.925,58.385,11.529,3.902,2.048,6.396,15.912,1.019,17.113,59.811,9.260,3.176,6.095,2.263,4.107,3.658,247.619,1.453,[186]
36,5. Sep. 2020,43.259,58.692,11.623,3.923,2.056,6.451,15.978,1.023,17.210,60.085,9.305,3.189,6.138,2.274,4.115,3.676,248.997,1.378,[187]
36,6. Sep. 2020,43.423,59.014,11.703,3.927,2.067,6.486,16.068,1.023,17.236,60.257,9.324,3.197,6.147,2.281,4.120,3.682,249.985,.0988,[188]
37,7. Sep. 2020,43.592,59.298,11.727,3.931,2.070,6.486(at),16.145,1.023(at),17.284,60.433,9.364,3.199,6.149,2.282,4.126,3.690,250.799,.0814,[189]
37,8. Sep. 2020,43.861,59.804,11.792,3.943,2.073,6.527,16.278,1.034,17.372,60.695,9.434,3.199,6.155,2.287,4.150,3.694,252.298,1.499,[190]
37,9. Sep. 2020,44.118,60.121,11.879,3.959,2.085,6.527(au),16.375,1.038,17.454,60.878,9.483,3.208,6.191,2.290,4.168,3.700,253.474,1.176,[191]
37,10. Sep. 2020,44.396,60.759,11.951,3.966,2.094,6.626,16.500,1.044,17.572,61.201,9.560,3.218,6.255,2.305,4.197,3.722,255.366,1.892,[192]
37,11. Sep. 2020,44.618,61.158,12.090,3.984,2.109,6.699,16.602,1.046,17.645,61.505,9.623,3.222,6.282,2.314,4.207,3.745,256.850,1.484,[193]
37,12. Sep. 2020,44.903,61.561,12.216,4.003,2.117,6.770,16.714,1.055,17.783,61.820,9.649,3.225,6.351,2.330,4.218,3.765,258.480,1.630,[194]
37,13. Sep. 2020,45.070,61.705,12.254,4.005,2.130,6.814,16.808,1.055,17.844,62.079,9.717,3.243,6.365,2.337,4.222,3.780,259.428,.0948,[195]
38,14. Sep. 2020,45.254,61.974,12.269,4.006,2.135,6.825,16.877,1.055,17.911,62.261,9.764,3.245,6.403,2.355,4.231,3.790,260.355,.0927,[196]
38,15. Sep. 2020,45.323,62.401,12.354,4.016,2.137,6.846,16.985,1.064,18.023,62.725,9.795,3.234,6.430,2.359,4.255,3.815,261.762,1.407,[197]
38,16. Sep. 2020,45.755,62.809,12.463,4.033,2.159,6.917,17.084,1.074,18.160,63.155,9.859,3.240,6.467,2.366,4.288,3.834,263.663,1.901,[198]
38,17. Sep. 2020,46.041,63.632,12.593,4.051,2.174,6.964,17.233,1.081,18.256,63.565,9.929,3.262,6.522,2.378,4.311,3.865,265.857,2.194,[199]
38,18. Sep. 2020,46.428,63.918,12.733,4.060,2.177,7.010,17.342,1.093,18.529,64.084,9.990,3.214,6.581,2.380,4.350,3.884,267.773,1.916,[200]
38,19. Sep. 2020,46.779,64.395,12.919,4.079,2.191,7.075,17.516,1.105,18.701,64.692,10.037,3.227,6.658,2.393,4.384,3.919,270.070,2.297,[201]
38,20. Sep. 2020,46.935,64.625,13.065,4.088,2.215,7.150,17.586,1.105,18.791,65.078,10.085,3.232,6.679,2.443,4.405,3.933,271.415,1.345,[202]
