Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt
Bolivien,–,–,–,–,–,,–,–,11,19,74,157,300,520,866,1.470,2.437
Brasilien,–,–,–,–,–,,2,25,200,904,3.417,10.278,20.727,36.599,58.509,96.559,155.939
Jungferb,–,–,–,–,–,,–,–,–,–,2,3,3,4,6,6,7
CaymanIslands,–,–,–,–,–,,–,–,–,3,8,35,53,61,70,74,81
Chile,–,–,–,–,–,,–,10,75,434,1.909,4.471,7.213,10.888,13.331,19.663,28.866
CostaRica,–,–,–,–,–,,–,9,23,113,266,435,577,655,693,733,780
Curaao,–,–,–,–,–,,–,–,2,3,7,11,14,14,14,16,16
Dominica,–,–,–,–,–,,–,–,–,–,–,–,16,16,16,16,16
DominikanischeRepublik,–,–,–,–,–,,–,1,5,72,581,1.488,2.967,4.680,6.135,7.954,10.347
Ecuador,–,–,–,–,–,,1,15,37,506,1.823,3.465,7.466,9.468,22.719,29.538,29.559
ElSalvador,–,–,–,–,–,,–,–,–,1,19,62,125,201,298,490,889
Falklandinseln,–,–,–,–,–,,–,–,–,–,–,–,5,11,13,13,13
Guayanaf,–,–,–,–,–,,–,5,7,15,31,66,86,96,109,128,144
Grenada,–,–,–,–,–,,–,–,–,–,7,12,14,15,18,21,21
Guadeloupe,–,–,–,–,–,,–,–,6,51,96,134,143,148,149,152,154
Guatemala,–,–,–,–,–,,–,–,1,1,1,62,153,257,473,688,967
Guyana,–,–,–,–,–,,–,–,4,5,5,24,37,63,74,82,97
Haiti,–,–,–,–,–,,–,–,–,2,8,21,31,44,72,85,151
Honduras,–,–,–,–,–,,–,–,2,24,67,268,393,472,627,1.010,1.830
Jamaika,–,–,–,–,–,,–,–,10,16,30,55,69,173,305,463,498
Kanada,–,1,4,7,7,,19,62,304,1.384,4.757,13.904,23.702,33.909,45.778,59.365,67.996
Kolumbien,–,–,–,–,–,,–,1,24,196,539,1.406,2709,3.621,5.142,7.285,10.495
Kuba,–,–,–,–,–,,–,–,4,16,119,320,669,1.035,1.369,1.649,1.766
StLucia,–,–,–,–,–,,–,–,–,–,–,–,15,15,15,17,18
Martinique,–,–,–,–,–,,–,2,15,32,93,145,156,163,175,181,187
Mexiko,–,–,–,–,–,,5,7,53,164,717,1.890,4.219,7.497,13.842,22.088,33.460
Montserrat,–,–,–,–,–,,–,–,–,1,5,6,9,11,11,11,11
Nicaragua,–,–,–,–,–,,–,–,–,2,4,5,9,9,13,14,16
Panama,–,–,–,–,–,,–,–,43,137,786,1.801,3.234,4.273,5.538,7.090,8.282
Paraguay,–,–,–,–,–,,–,1,8,18,56,104,134,206,228,370,713
Peru,–,–,–,–,–,,–,6,71,318,635,1.746,6.848,14.420,25.331,42.534,65.015
SaintPierreundMiquelon,–,–,–,–,–,,–,–,–,–,–,–,1,1,1,1,1
PuertoRico,–,–,–,–,–,,–,–,3,21,64,452,897,1.213,1.371,1.808,2.198
SaintBarthlemy,–,–,–,–,–,,–,1,3,3,5,6,6,6,6,6,6
StKittsundNevis,–,–,–,–,–,,–,–,–,–,2,9,12,14,15,15,15
SaintMartin,–,–,–,–,–,,–,2,2,4,6,29,33,37,38,38,39
SintMaarten,–,–,–,–,–,,–,–,–,1,3,23,50,64,74,76,77
Suriname,–,–,–,–,–,,–,–,1,2,8,10,10,10,10,10,10
TrinidadundTobago,–,–,–,–,–,,–,–,2,9,74,103,112,114,115,116,116
TurksundCaicosinseln,–,–,–,–,–,,–,–,–,–,–,–,9,11,11,13,12
Uruguay,–,–,–,–,–,,–,–,4,94,274,400,501,517,596,652,702
Venezuela,–,–,–,–,–,,–,–,2,36,113,144,171,228,323,345,402
VereinigteStaaten,–,5,11,12,15,,62,213,1.678,15.219,103.321,307.318,524.514,723.605,931.698,1.125.719,1.271.645
StVincentunddieGrenadinen,–,–,–,–,–,,–,–,–,1,1,3,12,12,14,16,17
,,,,,,,,,,,,,,,,,
Albanien,–,–,–,–,–,,–,2,42,76,212,377,446,562,726,795,868
Andorra,–,–,–,–,–,,–,1,2,88,312,523,639,717,740,749,756
